frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:26.656113093 PKT,,,,,,,
Apr  1, 2026 21:29:35.652943624 PKT,192.168.100.39,20.189.173.25,6,51768,443,,
Apr  1, 2026 21:29:36.242133305 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:36.312408196 PKT,192.168.100.39,192.168.100.1,17,,,45300,53
Apr  1, 2026 21:29:36.316356084 PKT,192.168.100.39,192.168.100.1,17,,,58821,53
Apr  1, 2026 21:29:36.322380478 PKT,172.64.148.235,192.168.100.39,6,443,35934,,
Apr  1, 2026 21:29:36.324189564 PKT,192.168.100.39,172.64.148.235,6,35934,443,,
Apr  1, 2026 21:29:36.329474369 PKT,192.168.100.1,192.168.100.39,17,,,53,45300
Apr  1, 2026 21:29:36.329475239 PKT,192.168.100.1,192.168.100.39,17,,,53,58821
Apr  1, 2026 21:29:36.331707353 PKT,192.168.100.39,192.168.100.1,17,,,60163,53
Apr  1, 2026 21:29:36.341040009 PKT,192.168.100.1,192.168.100.39,17,,,53,60163
Apr  1, 2026 21:29:36.354779515 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.358270875 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.359340721 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.398194997 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:36.436037913 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:36.436038825 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:36.436039121 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:36.436039370 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:36.436175900 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.436262931 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.436300103 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.483818012 PKT,172.64.148.235,192.168.100.39,6,443,35934,,
Apr  1, 2026 21:29:36.745150815 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:36.745151509 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:36.745151819 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:36.745225870 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:36.745283055 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
