frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:28:59.852410857 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:28:59.852411160 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:28:59.852411481 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:28:59.852411713 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:28:59.852634956 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:28:59.852797268 PKT,104.26.6.95,192.168.100.39,6,443,55782,,
Apr  1, 2026 21:28:59.853306529 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:28:59.853679643 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:28:59.856340535 PKT,192.168.100.39,192.168.100.1,17,,,36139,53
Apr  1, 2026 21:28:59.862096584 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:28:59.862446530 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:28:59.892939559 PKT,192.168.100.39,104.26.6.95,6,55782,443,,
Apr  1, 2026 21:29:00.113442151 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:00.548908834 PKT,,,,,,,
Apr  1, 2026 21:29:00.800834159 PKT,192.168.100.39,192.168.100.1,17,,,36397,53
Apr  1, 2026 21:29:00.804655935 PKT,192.168.100.39,192.168.100.1,17,,,42943,53
Apr  1, 2026 21:29:00.836931550 PKT,192.168.100.39,20.189.173.25,6,43282,443,,
Apr  1, 2026 21:29:00.900120473 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:01.145096011 PKT,192.168.100.39,192.168.100.1,17,,,52094,53
Apr  1, 2026 21:29:01.145975447 PKT,192.168.100.39,192.168.100.1,17,,,55815,53
Apr  1, 2026 21:29:01.155969127 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:01.482955506 PKT,192.168.100.39,192.168.100.1,17,,,59430,53
Apr  1, 2026 21:29:01.859979258 PKT,192.168.100.39,172.64.148.235,6,35934,443,,
Apr  1, 2026 21:29:01.884371964 PKT,,,,,,,
Apr  1, 2026 21:29:01.924941152 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:02.051899212 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:02.179902250 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:02.371958688 PKT,192.168.100.39,52.5.197.43,6,37474,443,,
Apr  1, 2026 21:29:02.947955681 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:03.075893407 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:29:03.203898500 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:03.396896708 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:29:03.907925580 PKT,192.168.100.39,157.240.227.60,6,35746,443,,
