frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Mar 31, 2026 07:59:47.978244204 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.979835466 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.980089418 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.981517413 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.981781783 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.984684205 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.984968530 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.987789594 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.988966755 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.989227018 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.990913466 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.991167903 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.994169762 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.994356022 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.997344345 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.997823712 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.999608121 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.000056342 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.000510545 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.001125842 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.003239279 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
